id,name,country,region,latitude,longitude,destination_type,rarity_score,fauna,experiences,accommodation,context_tags,best_months,keywords_pt,keywords_en,keywords_es,keywords_fr,keywords_hi,keywords_zh,keywords_ar,keywords_ru
tofo-moz,Tofo Beach,Mozambique,Inhambane,-23.8544,35.5436,beach,9,whale_shark|manta_ray|whale|dolphin|sea_turtle,scuba_diving|snorkeling|marine_safari|wildlife|unique_biome,eco_lodge|glamping,off_beaten_path|value_for_money|bucket_list|authentic,Oct|Nov|Dec|Jan|Feb|Mar,"Tubarão-baleia, Arraia-manta, Baleia, Golfinho, Tartaruga marinha, Mergulho, Snorkel, Safári marinho, Vida selvagem, Bioma único, Eco lodge, Glamping, Fora do radar, Custo-benefício, Imperdível, Autêntico","Whale Shark, Manta Ray, Whale, Dolphin, Sea Turtle, Scuba Diving, Snorkeling, Marine Safari, Wildlife, Unique biome, Eco Lodge, Glamping, Off the beaten path, Value for money, Bucket List, Authentic","Tiburón ballena, Manta, Ballena, Delfín, Tortuga marina, Buceo, Snorkel, Safari marino, Vida salvaje, Bioma único, Eco lodge, Glamping, Poco turístico, Buena relación precio, Lista de deseos, Auténtico","Requin-baleine, Raie manta, Baleine, Dauphin, Tortue de mer, Plongée, Snorkeling, Safari marin, Faune sauvage, Biome unique, Éco-lodge, Glamping, Hors des sentiers battus, Bon rapport qualité-prix, À faire absolument, Authentique","व्हेल शार्क, मंटा रे, व्हेल, डॉल्फ़िन, समुद्री कछुआ, स्कूबा डाइविंग, स्नॉर्कलिंग, समुद्री सफारी, वन्यजीव, अनोखा जैव क्षेत्र, इको लॉज, ग्लैम्पिंग, कम भीड़, मूल्य-लाभ, अवश्य देखें, प्रामाणिक","鲸鲨, 蝠鲼, 鲸鱼, 海豚, 海龟, 潜水, 浮潜, 海洋野生动物, 野生动物, 独特生物群系, 生态旅馆, 豪华露营, 小众目的地, 性价比, 必去, 原生态","قرش الحوت, مانتا راي, حوت, دلفين, سلحفاة بحرية, غوص, غطس سطحي, سفاري بحري, الحياة البرية, نظام بيئي فريد, نزل بيئي, تخييم فاخر, خارج المسار, قيمة مقابل السعر, قائمة الأمنيات, أصيل","Китовая акула, Манта, Кит, Дельфин, Морская черепаха, Дайвинг, Снорклинг, Морское сафари, Дикая природа, Уникальный биом, Эко-лодж, Глэмпинг, Вне туристических троп, Цена-качество, Обязательно посетить, Аутентичный"
raja-ampat-idn,Raja Ampat,Indonesia,West Papua,-0.5,130.5,island,10,manta_ray|whale_shark|sea_turtle|dolphin,scuba_diving|snorkeling|coral_reef|unique_biome|wildlife,eco_lodge|overwater_bungalow,bucket_list|exclusive|hidden_gem|sustainable,Oct|Nov|Dec|Jan|Feb|Mar|Apr,"Arraia-manta, Tubarão-baleia, Tartaruga marinha, Golfinho, Mergulho, Snorkel, Recife de coral, Bioma único, Vida selvagem, Eco lodge, Bangalô sobre água, Imperdível, Exclusivo, Joia escondida, Sustentável","Manta Ray, Whale Shark, Sea Turtle, Dolphin, Scuba Diving, Snorkeling, Coral Reef, Unique biome, Wildlife, Eco Lodge, Overwater Bungalow, Bucket List, Exclusive, Hidden Gem, Sustainable","Manta, Tiburón ballena, Tortuga marina, Delfín, Buceo, Snorkel, Arrecife de coral, Bioma único, Vida salvaje, Eco lodge, Bungalow sobre el agua, Lista de deseos, Exclusivo, Joya oculta, Sostenible","Raie manta, Requin-baleine, Tortue de mer, Dauphin, Plongée, Snorkeling, Récif corallien, Biome unique, Faune sauvage, Éco-lodge, Bungalow sur pilotis, À faire absolument, Exclusif, Perle cachée, Durable","मंटा रे, व्हेल शार्क, समुद्री कछुआ, डॉल्फ़िन, स्कूबा डाइविंग, स्नॉर्कलिंग, मूंगे की चट्टान, अनोखा जैव क्षेत्र, वन्यजीव, इको लॉज, पानी पर बंगला, अवश्य देखें, विशिष्ट, छिपा हुआ रत्न, टिकाऊ","蝠鲼, 鲸鲨, 海龟, 海豚, 潜水, 浮潜, 珊瑚礁, 独特生物群系, 野生动物, 生态旅馆, 水上屋, 必去, 独特, 隐藏的宝石, 可持续","مانتا راي, قرش الحوت, سلحفاة بحرية, دلفين, غوص, غطس سطحي, شعاب مرجانية, نظام بيئي فريد, الحياة البرية, نزل بيئي, بنغل فوق الماء, قائمة الأمنيات, حصري, جوهرة مخفية, مستدام","Манта, Китовая акула, Морская черепаха, Дельфин, Дайвинг, Снорклинг, Коралловый риф, Уникальный биом, Дикая природа, Эко-лодж, Бунгало над водой, Обязательно посетить, Эксклюзивный, Скрытая жемчужина, Экологичный"
komodo-idn,Komodo National Park,Indonesia,East Nusa Tenggara,-8.55,119.4833,island,9,komodo_dragon|manta_ray|dolphin|sea_turtle,wildlife|scuba_diving|snorkeling|trekking|unique_biome,eco_lodge,bucket_list|adventure|authentic,Apr|May|Jun|Jul|Aug|Sep,"Dragão de Komodo, Arraia-manta, Golfinho, Tartaruga marinha, Vida selvagem, Mergulho, Snorkel, Trekking, Bioma único, Eco lodge, Imperdível, Aventura, Autêntico","Komodo Dragon, Manta Ray, Dolphin, Sea Turtle, Wildlife, Scuba Diving, Snorkeling, Trekking, Unique biome, Eco Lodge, Bucket List, Adventure, Authentic","Dragón de Komodo, Manta, Delfín, Tortuga marina, Vida salvaje, Buceo, Snorkel, Senderismo, Bioma único, Eco lodge, Lista de deseos, Aventura, Auténtico","Dragon de Komodo, Raie manta, Dauphin, Tortue de mer, Faune sauvage, Plongée, Snorkeling, Randonnée, Biome unique, Éco-lodge, À faire absolument, Aventure, Authentique","कोमोडो ड्रैगन, मंटा रे, डॉल्फ़िन, समुद्री कछुआ, वन्यजीव, स्कूबा डाइविंग, स्नॉर्कलिंग, ट्रेकिंग, अनोखा जैव क्षेत्र, इको लॉज, अवश्य देखें, साहसिक, प्रामाणिक","科莫多龙, 蝠鲼, 海豚, 海龟, 野生动物, 潜水, 浮潜, 徒步旅行, 独特生物群系, 生态旅馆, 必去, 冒险, 原生态","تنين كومودو, مانتا راي, دلفين, سلحفاة بحرية, الحياة البرية, غوص, غطس سطحي, المشي لمسافات طويلة, نظام بيئي فريد, نزل بيئي, قائمة الأمنيات, مغامرة, أصيل","Комодский варан, Манта, Дельфин, Морская черепаха, Дикая природа, Дайвинг, Снорклинг, Треккинг, Уникальный биом, Эко-лодж, Обязательно посетить, Приключение, Аутентичный"
socorro-mex,Revillagigedo (Socorro),Mexico,Pacific Ocean,18.75,-110.95,island,10,whale_shark|manta_ray|whale|dolphin,scuba_diving|marine_safari|wildlife|unique_biome,eco_lodge,exclusive|bucket_list|remote|adventure,Nov|Dec|Jan|Feb|Mar|Apr|May,"Tubarão-baleia, Arraia-manta, Baleia, Golfinho, Mergulho, Safári marinho, Vida selvagem, Bioma único, Eco lodge, Exclusivo, Imperdível, Remoto, Aventura","Whale Shark, Manta Ray, Whale, Dolphin, Scuba Diving, Marine Safari, Wildlife, Unique biome, Eco Lodge, Exclusive, Bucket List, Remote, Adventure","Tiburón ballena, Manta, Ballena, Delfín, Buceo, Safari marino, Vida salvaje, Bioma único, Eco lodge, Exclusivo, Lista de deseos, Remoto, Aventura","Requin-baleine, Raie manta, Baleine, Dauphin, Plongée, Safari marin, Faune sauvage, Biome unique, Éco-lodge, Exclusif, À faire absolument, Isolé, Aventure","व्हेल शार्क, मंटा रे, व्हेल, डॉल्फ़िन, स्कूबा डाइविंग, समुद्री सफारी, वन्यजीव, अनोखा जैव क्षेत्र, इको लॉज, विशिष्ट, अवश्य देखें, दूरस्थ, साहसिक","鲸鲨, 蝠鲼, 鲸鱼, 海豚, 潜水, 海洋野生动物, 野生动物, 独特生物群系, 生态旅馆, 独特, 必去, 偏远, 冒险","قرش الحوت, مانتا راي, حوت, دلفين, غوص, سفاري بحري, الحياة البرية, نظام بيئي فريد, نزل بيئي, حصري, قائمة الأمنيات, نائي, مغامرة","Китовая акула, Манта, Кит, Дельфин, Дайвинг, Морское сафари, Дикая природа, Уникальный биом, Эко-лодж, Эксклюзивный, Обязательно посетить, Отдалённый, Приключение"
galapagos-ecu,Galapagos Islands,Ecuador,Pacific Ocean,-0.9538,-90.9656,island,10,whale_shark|sea_turtle|penguin|dolphin,wildlife|scuba_diving|snorkeling|unique_biome|volcano,eco_lodge,bucket_list|sustainable|exclusive|authentic,Jan|Feb|Mar|Apr|May|Jun,"Tubarão-baleia, Tartaruga marinha, Pinguim, Golfinho, Vida selvagem, Mergulho, Snorkel, Bioma único, Vulcão, Eco lodge, Imperdível, Sustentável, Exclusivo, Autêntico","Whale Shark, Sea Turtle, Penguin, Dolphin, Wildlife, Scuba Diving, Snorkeling, Unique biome, Volcano, Eco Lodge, Bucket List, Sustainable, Exclusive, Authentic","Tiburón ballena, Tortuga marina, Pingüino, Delfín, Vida salvaje, Buceo, Snorkel, Bioma único, Volcán, Eco lodge, Lista de deseos, Sostenible, Exclusivo, Auténtico","Requin-baleine, Tortue de mer, Pingouin, Dauphin, Faune sauvage, Plongée, Snorkeling, Biome unique, Volcan, Éco-lodge, À faire absolument, Durable, Exclusif, Authentique","व्हेल शार्क, समुद्री कछुआ, पेंगुइन, डॉल्फ़िन, वन्यजीव, स्कूबा डाइविंग, स्नॉर्कलिंग, अनोखा जैव क्षेत्र, ज्वालामुखी, इको लॉज, अवश्य देखें, टिकाऊ, विशिष्ट, प्रामाणिक","鲸鲨, 海龟, 企鹅, 海豚, 野生动物, 潜水, 浮潜, 独特生物群系, 火山, 生态旅馆, 必去, 可持续, 独特, 原生态","قرش الحوت, سلحفاة بحرية, بطريق, دلفين, الحياة البرية, غوص, غطس سطحي, نظام بيئي فريد, بركان, نزل بيئي, قائمة الأمنيات, مستدام, حصري, أصيل","Китовая акула, Морская черепаха, Пингвин, Дельфин, Дикая природа, Дайвинг, Снорклинг, Уникальный биом, Вулкан, Эко-лодж, Обязательно посетить, Экологичный, Эксклюзивный, Аутентичный"
masai-mara-ken,Masai Mara,Kenya,Narok County,-1.5021,35.1446,safari,9,lion|elephant|giraffe,safari|wildlife|unique_landscape|unique_biome,glamping|eco_lodge,bucket_list|authentic|adventure,Jul|Aug|Sep|Oct,"Leão, Elefante, Girafa, Safári, Vida selvagem, Paisagem única, Bioma único, Glamping, Eco lodge, Imperdível, Autêntico, Aventura","Lion, Elephant, Giraffe, Safari, Wildlife, Unique landscape, Unique biome, Glamping, Eco Lodge, Bucket List, Authentic, Adventure","León, Elefante, Jirafa, Safari, Vida salvaje, Paisaje único, Bioma único, Glamping, Eco lodge, Lista de deseos, Auténtico, Aventura","Lion, Éléphant, Girafe, Safari, Faune sauvage, Paysage unique, Biome unique, Glamping, Éco-lodge, À faire absolument, Authentique, Aventure","सिंह, हाथी, जिराफ़, सफारी, वन्यजीव, अनोखा परिदृश्य, अनोखा जैव क्षेत्र, ग्लैम्पिंग, इको लॉज, अवश्य देखें, प्रामाणिक, साहसिक","狮子, 大象, 长颈鹿, 野生动物园, 野生动物, 独特景观, 独特生物群系, 豪华露营, 生态旅馆, 必去, 原生态, 冒险","أسد, فيل, زرافة, سفاري, الحياة البرية, منظر فريد, نظام بيئي فريد, تخييم فاخر, نزل بيئي, قائمة الأمنيات, أصيل, مغامرة","Лев, Слон, Жираф, Сафари, Дикая природа, Уникальный пейзаж, Уникальный биом, Глэмпинг, Эко-лодж, Обязательно посетить, Аутентичный, Приключение"
serengeti-tza,Serengeti,Tanzania,Mara Region,-2.3333,34.8333,safari,9,lion|elephant|giraffe,safari|wildlife|unique_landscape|unique_biome,glamping|eco_lodge,bucket_list|authentic|exclusive,Jun|Jul|Aug|Sep|Oct,"Leão, Elefante, Girafa, Safári, Vida selvagem, Paisagem única, Bioma único, Glamping, Eco lodge, Imperdível, Autêntico, Exclusivo","Lion, Elephant, Giraffe, Safari, Wildlife, Unique landscape, Unique biome, Glamping, Eco Lodge, Bucket List, Authentic, Exclusive","León, Elefante, Jirafa, Safari, Vida salvaje, Paisaje único, Bioma único, Glamping, Eco lodge, Lista de deseos, Auténtico, Exclusivo","Lion, Éléphant, Girafe, Safari, Faune sauvage, Paysage unique, Biome unique, Glamping, Éco-lodge, À faire absolument, Authentique, Exclusif","सिंह, हाथी, जिराफ़, सफारी, वन्यजीव, अनोखा परिदृश्य, अनोखा जैव क्षेत्र, ग्लैम्पिंग, इको लॉज, अवश्य देखें, प्रामाणिक, विशिष्ट","狮子, 大象, 长颈鹿, 野生动物园, 野生动物, 独特景观, 独特生物群系, 豪华露营, 生态旅馆, 必去, 原生态, 独特","أسد, فيل, زرافة, سفاري, الحياة البرية, منظر فريد, نظام بيئي فريد, تخييم فاخر, نزل بيئي, قائمة الأمنيات, أصيل, حصري","Лев, Слон, Жираф, Сафари, Дикая природа, Уникальный пейзаж, Уникальный биом, Глэмпинг, Эко-лодж, Обязательно посетить, Аутентичный, Эксклюзивный"
okavango-bwa,Okavango Delta,Botswana,North-West District,-19.0,22.5,safari,10,elephant|lion|giraffe,safari|wildlife|unique_biome|unique_landscape,eco_lodge|glamping,exclusive|bucket_list|sustainable|luxury,May|Jun|Jul|Aug|Sep|Oct,"Elefante, Leão, Girafa, Safári, Vida selvagem, Bioma único, Paisagem única, Eco lodge, Glamping, Exclusivo, Imperdível, Sustentável, Luxo","Elephant, Lion, Giraffe, Safari, Wildlife, Unique biome, Unique landscape, Eco Lodge, Glamping, Exclusive, Bucket List, Sustainable, Luxury","Elefante, León, Jirafa, Safari, Vida salvaje, Bioma único, Paisaje único, Eco lodge, Glamping, Exclusivo, Lista de deseos, Sostenible, Lujo","Éléphant, Lion, Girafe, Safari, Faune sauvage, Biome unique, Paysage unique, Éco-lodge, Glamping, Exclusif, À faire absolument, Durable, Luxe","हाथी, सिंह, जिराफ़, सफारी, वन्यजीव, अनोखा जैव क्षेत्र, अनोखा परिदृश्य, इको लॉज, ग्लैम्पिंग, विशिष्ट, अवश्य देखें, टिकाऊ, विलासिता","大象, 狮子, 长颈鹿, 野生动物园, 野生动物, 独特生物群系, 独特景观, 生态旅馆, 豪华露营, 独特, 必去, 可持续, 奢华","فيل, أسد, زرافة, سفاري, الحياة البرية, نظام بيئي فريد, منظر فريد, نزل بيئي, تخييم فاخر, حصري, قائمة الأمنيات, مستدام, فاخر","Слон, Лев, Жираф, Сафари, Дикая природа, Уникальный биом, Уникальный пейзаж, Эко-лодж, Глэмпинг, Эксклюзивный, Обязательно посетить, Экологичный, Люкс"
bwindi-uga,Bwindi Impenetrable Forest,Uganda,Kanungu District,-1.05,29.6833,forest,10,gorilla,wildlife|trekking|rainforest|unique_biome,eco_lodge,bucket_list|exclusive|authentic|sustainable,Jun|Jul|Aug|Sep|Dec|Jan|Feb,"Gorila, Vida selvagem, Trekking, Floresta tropical, Bioma único, Eco lodge, Imperdível, Exclusivo, Autêntico, Sustentável","Gorilla, Wildlife, Trekking, Rainforest, Unique biome, Eco Lodge, Bucket List, Exclusive, Authentic, Sustainable","Gorila, Vida salvaje, Senderismo, Selva tropical, Bioma único, Eco lodge, Lista de deseos, Exclusivo, Auténtico, Sostenible","Gorille, Faune sauvage, Randonnée, Forêt tropicale, Biome unique, Éco-lodge, À faire absolument, Exclusif, Authentique, Durable","गोरिल्ला, वन्यजीव, ट्रेकिंग, वर्षावन, अनोखा जैव क्षेत्र, इको लॉज, अवश्य देखें, विशिष्ट, प्रामाणिक, टिकाऊ","大猩猩, 野生动物, 徒步旅行, 热带雨林, 独特生物群系, 生态旅馆, 必去, 独特, 原生态, 可持续","غوريلا, الحياة البرية, المشي لمسافات طويلة, غابة مطيرة, نظام بيئي فريد, نزل بيئي, قائمة الأمنيات, حصري, أصيل, مستدام","Горилла, Дикая природа, Треккинг, Тропический лес, Уникальный биом, Эко-лодж, Обязательно посетить, Эксклюзивный, Аутентичный, Экологичный"
borneo-mys,Borneo Rainforest,Malaysia,Sabah / Sarawak,4.5,117.0,forest,9,orangutan|elephant,wildlife|rainforest|trekking|unique_biome,eco_lodge|treehouse,off_beaten_path|authentic|sustainable|adventure,Mar|Apr|May|Sep|Oct,"Orangotango, Elefante, Vida selvagem, Floresta tropical, Trekking, Bioma único, Eco lodge, Casa na árvore, Fora do radar, Autêntico, Sustentável, Aventura","Orangutan, Elephant, Wildlife, Rainforest, Trekking, Unique biome, Eco Lodge, Treehouse, Off the beaten path, Authentic, Sustainable, Adventure","Orangután, Elefante, Vida salvaje, Selva tropical, Senderismo, Bioma único, Eco lodge, Casa del árbol, Poco turístico, Auténtico, Sostenible, Aventura","Orang-outan, Éléphant, Faune sauvage, Forêt tropicale, Randonnée, Biome unique, Éco-lodge, Cabane dans les arbres, Hors des sentiers battus, Authentique, Durable, Aventure","ओरांगुटान, हाथी, वन्यजीव, वर्षावन, ट्रेकिंग, अनोखा जैव क्षेत्र, इको लॉज, पेड़ पर घर, कम भीड़, प्रामाणिक, टिकाऊ, साहसिक","红毛猩猩, 大象, 野生动物, 热带雨林, 徒步旅行, 独特生物群系, 生态旅馆, 树屋, 小众目的地, 原生态, 可持续, 冒险","إنسان الغاب, فيل, الحياة البرية, غابة مطيرة, المشي لمسافات طويلة, نظام بيئي فريد, نزل بيئي, بيت شجرة, خارج المسار, أصيل, مستدام, مغامرة","Орангутан, Слон, Дикая природа, Тропический лес, Треккинг, Уникальный биом, Эко-лодж, Дом на дереве, Вне туристических троп, Аутентичный, Экологичный, Приключение"
